,respuestas_modelo,respuestas_experto,respuestas_venezuela,respuestas_mexico,respuestas_argentina
respuestas_modelo,1.0,0.3368200836820084,0.3514644351464435,0.41527196652719667,0.35564853556485354
respuestas_experto,0.3368200836820084,1.0,0.8640167364016736,0.75,0.8430962343096234
respuestas_venezuela,0.3514644351464435,0.8640167364016736,1.0,0.8023012552301255,0.9079497907949791
respuestas_mexico,0.41527196652719667,0.75,0.8023012552301255,1.0,0.8127615062761506
respuestas_argentina,0.35564853556485354,0.8430962343096234,0.9079497907949791,0.8127615062761506,1.0
